InstrumentID,ExchangeID,ProductID,ProductClass,UnderlyingExchangeID,UnderlyingInstrID,InstrumentID2,ExchangeID2,ProductID2,ProductClass2,UnderlyingExchangeID2,UnderlyingInstrID2,PriceTick,ExpireDate,Symbol
TF1712,CFFEX,TF,Futures,CFFEX,,TF1712,CFFEX,TF,FUTURES,CFFEX,,0.005,20171208,CFFEX.TF1712
T1712,CFFEX,T,Futures,CFFEX,,T1712,CFFEX,T,FUTURES,CFFEX,,0.005,20171208,CFFEX.T1712
m1805-C-3000,DCE,m_o,Options,DCE,m1805,M1805-C-3000,DCE,M_O,OPTIONS,DCE,M1805,0.5,20180411,DCE.M1805-C-3000
m1805-P-3000,DCE,m_o,Options,DCE,m1805,M1805-P-3000,DCE,M_O,OPTIONS,DCE,M1805,0.5,20180411,DCE.M1805-P-3000
SR811C7300,CZCE,SR_O,Options,CZCE,SR811,SR811C7300,CZCE,SR_O,OPTIONS,CZCE,SR811,0.5,20180924,CZCE.SR811C7300
SR811P7300,CZCE,SR_O,Options,CZCE,SR811,SR811P7300,CZCE,SR_O,OPTIONS,CZCE,SR811,0.5,20180924,CZCE.SR811P7300
j1804,DCE,j,Futures,DCE,,J1804,DCE,J,FUTURES,DCE,,0.5,20180418,DCE.J1804
v1804,DCE,v,Futures,DCE,,V1804,DCE,V,FUTURES,DCE,,5.0,20180418,DCE.V1804
MA804,CZCE,MA,Futures,CZCE,,MA804,CZCE,MA,FUTURES,CZCE,,1.0,20180413,CZCE.MA804
TA804,CZCE,TA,Futures,CZCE,,TA804,CZCE,TA,FUTURES,CZCE,,2.0,20180413,CZCE.TA804
jm1804,DCE,jm,Futures,DCE,,JM1804,DCE,JM,FUTURES,DCE,,0.5,20180418,DCE.JM1804
i1804,DCE,i,Futures,DCE,,I1804,DCE,I,FUTURES,DCE,,0.5,20180418,DCE.I1804
jd1805,DCE,jd,Futures,DCE,,JD1805,DCE,JD,FUTURES,DCE,,1.0,20180528,DCE.JD1805
m1712-C-2500,DCE,m_o,Options,DCE,m1712,M1712-C-2500,DCE,M_O,OPTIONS,DCE,M1712,0.5,20171107,DCE.M1712-C-2500
m1712-P-2500,DCE,m_o,Options,DCE,m1712,M1712-P-2500,DCE,M_O,OPTIONS,DCE,M1712,0.5,20171107,DCE.M1712-P-2500
bu1709,SHFE,bu,Futures,SHFE,,BU1709,SHFE,BU,FUTURES,SHFE,,2.0,20170915,SHFE.BU1709
bu1712,SHFE,bu,Futures,SHFE,,BU1712,SHFE,BU,FUTURES,SHFE,,2.0,20171215,SHFE.BU1712
SR801C6900,CZCE,SR_O,Options,CZCE,SR801,SR801C6900,CZCE,SR_O,OPTIONS,CZCE,SR801,0.5,20171124,CZCE.SR801C6900
SR801C7000,CZCE,SR_O,Options,CZCE,SR801,SR801C7000,CZCE,SR_O,OPTIONS,CZCE,SR801,0.5,20171124,CZCE.SR801C7000
SR801C7100,CZCE,SR_O,Options,CZCE,SR801,SR801C7100,CZCE,SR_O,OPTIONS,CZCE,SR801,0.5,20171124,CZCE.SR801C7100
SR801C7200,CZCE,SR_O,Options,CZCE,SR801,SR801C7200,CZCE,SR_O,OPTIONS,CZCE,SR801,0.5,20171124,CZCE.SR801C7200
